time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,rainfall
9.996495442,8.395304382,7.907974708,7.450715616,6.353396726,5.342809528,3.927997255,2.900499951,1.91814528,1.408048231,1.026271934,0.886873836,0.690937163,0.775022057,0.638295265,10.3
8.225149495,7.677923733,6.89947064,5.965273012,5.070385256,4.306072934,3.380085286,2.533428095,1.975468091,1.410351926,0.87645819,0.724855406,0.552421331,0.614890697,0.828962847,0
43.52122341,43.66736104,42.18005588,40.26970395,36.36660622,32.77899226,27.46713557,22.12868836,17.21223409,12.20667091,7.407607097,5.546711107,4.067468876,3.641652779,3.493383002,5.1
35.39949515,28.37072346,22.87346829,18.07933046,14.05847466,11.6284923,8.880526419,7.634030977,5.706131752,4.53649152,3.792275267,3.532080188,3.320017645,3.188878541,3.341461621,0
41.99512303,42.21669444,40.69098618,39.25566121,35.54793648,31.58592295,26.1821145,20.21811587,15.06781198,10.61368983,6.866581708,6.081217528,5.210028429,5.077369866,5.149666699,0
1.072541908,1.188976571,1.503945692,1.392902657,1.240074502,0.934197628,0.772816391,0.716473875,0.659739241,0.614057445,0.354622096,0.351828252,0.193118322,0.144716204,0.123051662,0
10.41932164,8.380550926,6.520120576,4.803205568,3.853519263,2.832736987,2.1165572,1.528428585,0.981300853,0.831021468,0.827075777,0.868958926,1.118346241,1.599402019,1.911993922,3.5
51.02315949,50.38368787,49.16241055,47.63506029,46.5678855,44.90187237,41.69194197,38.22777179,33.80053426,28.1900549,22.52460543,16.77686011,11.56185668,7.019679443,3.708459955,0.3
32.6596167,33.89643172,33.07237036,31.32325262,27.75568572,24.44086364,20.33364376,15.72652191,12.15317126,10.24397118,8.712258602,8.557102245,7.828007058,7.306097441,7.455126948,21.8
57.269851,57.0513185,53.99110381,51.33832467,50.43728556,48.89883345,45.57857073,41.82102245,37.9377512,32.80820508,27.5980051,20.93500637,15.55565631,10.27220371,5.824772081,0
30.68662386,28.00747476,26.54374571,23.826169,21.95676894,19.34030977,16.30751887,14.00372512,11.00847956,8.559602,6.908170768,6.493505539,6.546931673,6.433168317,6.731251838,0
3.695274973,2.954710323,2.563523184,2.055460249,1.515831781,1.282888932,0.922262523,0.696696402,0.576610136,0.513430056,0.416086658,0.55884227,0.572983041,0.762057641,0.822786982,0.1
43.09888736,40.14755906,36.16483678,32.09597098,30.05021567,27.95912165,25.47426723,22.58317812,19.12988923,15.56455249,12.39981374,10.36035683,9.348225664,9.428953044,9.625722968,1.4
55.79413783,52.80482306,48.6914028,45.3744976,44.10349476,41.6026615,38.75968042,35.256617,31.43755514,26.94792177,21.50857759,17.59964709,13.89956867,11.14429958,9.423242819,2.5
